ï»¿Time,Time Code,Country Name,Country Code,GDP per unit of energy use (PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP],GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent) [EG.GDP.PUSE.KO.PP.KD],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS],"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP) [EG.USE.COMM.GD.PP.KD]",Combustible renewables and waste (% of total energy) [EG.USE.CRNW.ZS],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Pump price for diesel fuel (US$ per liter) [EP.PMP.DESL.CD],Pump price for gasoline (US$ per liter) [EP.PMP.SGAS.CD],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Fuel exports (% of merchandise exports) [TX.VAL.FUEL.ZS.UN],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS]
2006,YR2006,Chile,CHL,8.628214908,9.816916241,67.38445114,8.490145916,101.8649824,16.80852341,1812.867574,0.86,1.09,0.266820823,2.39140214,0.035331899
2006,YR2006,China,CHN,3.946584439,4.300293593,6.465635063,3.000387843,232.5422621,10.55104051,1478.958036,0.61,0.69,0.432878581,1.811000299,2.663607912
2006,YR2006,Colombia,COL,13.79376284,15.03001669,-193.6856286,12.93208141,66.53352559,12.32972506,649.3758609,0.57,0.98,0.931751255,39.77102341,6.649485098
2006,YR2006,Comoros,COM,19.49006213,21.23684179,..,..,47.08798088,..,66.26549745,..,..,0,..,0
2006,YR2006,"Congo, Dem. Rep.",ZAR,1.676322692,1.826561636,-5.087946493,3.737188155,547.4767344,94.09672685,298.937332,1,0.94,0.006717128,..,3.659361509
2006,YR2006,"Congo, Rep.",COG,14.83701479,16.16676918,-1225.827468,2.760627406,61.85527789,59.29058296,321.4971446,0.67,0.96,0.526556041,..,73.3323073
2006,YR2006,Costa Rica,CRI,10.96205126,11.94451545,47.8912636,35.23238858,83.72043252,16.87634782,970.5151562,0.67,0.98,0,0.616116904,0
2006,YR2006,Cote d'Ivoire,CIV,4.844796606,5.279007235,-26.25638906,1.372936987,189.4295566,78.14623904,511.6495961,1.06,1.2,1.928591961,36.9892491,7.303763425
2006,YR2006,Croatia,HRV,8.448521642,10.10565376,53.57964714,5.787195241,98.95450836,4.152084567,2014.520495,1.22,1.34,1.150287919,15.10232208,0.656444077
2006,YR2006,Cuba,CUB,15.13584663,16.49238355,47.95051996,0.074193808,60.63404946,16.30347433,966.3499509,0.91,1.1,0.437143357,0.001527246,1.980482264
2006,YR2006,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
2006,YR2006,Cyprus,CYP,9.669831643,11.2325848,97.76696619,1.878203748,89.02670383,0.615960032,2202.083769,1.2,1.25,0,0.057510331,0
2006,YR2006,Czech Republic,CZE,5.436485982,6.068774861,26.95329096,15.30953993,164.7779038,4.047977541,4491.114919,1.29,1.3,0.024842137,2.704997541,0.06959304
2006,YR2006,Denmark,DNK,9.971938282,12.18346734,-45.84566386,2.719986302,82.07844059,13.59561154,3729.431413,1.45,1.58,0.86241673,10.10746941,2.439905078
2006,YR2006,Djibouti,DJI,11.90766228,12.97487602,..,..,77.07202737,..,181.2556326,..,..,0,..,0
2006,YR2006,Dominica,DMA,14.03360336,15.2913527,..,..,65.39643808,..,594.1434432,..,..,0,0,0
