"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Belgium","BEL","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","3.09999990463257","3.09999990463257","3.09999990463257","3.09999990463257","3.09999990463257","3.09999990463257","3","2.90000009536743","3","3.09999990463257","3.09999990463257","2.59999990463257","2.90000009536743","2.59999990463257","2.90000009536743","2.70000004768372","2.70000004768372","2.70000004768372","2.20000004768372","2.29999995231628","1.79999995231628","1.29999995231628","1.79999995231628","1.70000004768372","2.20000004768372","2","1.89999997615814","1.79999995231628","1.5","1.39999997615814","1.29999995231628","1.20000004768372","1.10000002384186","1.29999995231628","1.10000002384186","",
"Benin","BEN","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7000007629395","","","","","","","45.0999984741211","","","","","",
"Burkina Faso","BFA","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.8000030517578","","","","","","","","","85.0999984741211","","84.8000030517578","78.4000015258789","67.4000015258789","","","","","","","","",
"Bangladesh","BGD","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","58.7999992370605","57.7000007629395","57.0999984741211","","","64.9000015258789","","66.4000015258789","","","","","63.2000007629395","","","","62.0999984741211","","51.7000007629395","51.7000007629395","","48.0999984741211","","","","","47.5","","","","","",
"Bulgaria","BGR","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","24.3999996185303","23.7000007629395","22.8999996185303","22.1000003814697","21.5","21","20.3999996185303","19.7000007629395","19.2999992370605","18.7000007629395","18.5","19.5","21.2000007629395","22.1000003814697","23.2000007629395","23.8999996185303","24.7000007629395","","","","12.3000001907349","9","9.89999961853027","9.89999961853027","9.80000019073486","8.39999961853027","7.69999980926514","7.19999980926514","7","6.80000019073486","6.69999980926514","6.59999990463257","6.30000019073486","6.5","6.90000009536743","",
"Bahrain","BHR","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","2.70000004768372","2.59999990463257","","","","","","","","","2.40000009536743","","","","","","","","","","1.5","","","0.800000011920929","","","","","","1.10000002384186","","","","","",
"Bahamas, The","BHS","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","4.40000009536743","","5.19999980926514","5.19999980926514","5.40000009536743","5.40000009536743","4.30000019073486","5","3.79999995231628","3.5","4","","4.19999980926514","3.70000004768372","3","4.40000009536743","3.5","2.5","2.29999995231628","2.90000009536743","2.90000009536743","","3.70000004768372","","","","",
"Bosnia and Herzegovina","BIH","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.7999992370605","22.8999996185303","22.1000003814697","21.6000003814697","21.1000003814697","22.2999992370605","21.7000007629395","21.2000007629395","","","","","","","","","","","","","","","10.5","10.5","10.3999996185303","10.1000003814697","9.60000038146973","","",
"Belize","BLZ","Employment in agriculture (% of total employment)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2000007629395","22.8999996185303","27.2000007629395","28.7000007629395","29.8999996185303","25","27.5","","","","","22.6000003814697","19.5","","","","","","","","","","",
