"Data Source","World Development Indicators",

"Last Updated Date","2015-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Bangladesh","BGD","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","16.11397","14.21026","","","","15.70224","","19.00256","","","","18.99294","","","","","","","","","","","40.31217","43.3182182312012","44.6137390136719","45.8288192749023","46.9101905822754","46.6681213378906","43.4304885864258","42.1296997070313","42.780891418457","43.5959014892578","","44.6494789123535","46.0370597839355","45.8151512145996","47.7493209838867","","","",
"Bulgaria","BGR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.73743","84.58134","84.6049","85.1705017089844","86.2400512695313","87.0200881958008","87.6171569824219","85.0533599853516","86.4294891357422","87.0788879394531","86.6532287597656","86.3010406494141","85.3077697753906","84.1707229614258","84.1538009643555","85.2456436157227","85.2855529785156","87.6176910400391","","",
"Bahrain","BHR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","44.4714","47.27457","50.75408","","","58.73478","69.90146","67.11283","72.65131","76.87449","73.89147","","75.85523","","","84.79094","","90.62883","92.00038","","86.03084","86.80245","86.7207870483398","90.3986968994141","90.6827774047852","85.0029602050781","84.0277786254883","85.3644104003906","86.9251937866211","87.3805389404297","","84.958251953125","86.5799179077148","89.4379272460938","93.2279510498047","","","","",
"Bahamas, The","BHS","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","90.39679","","","90.4494","","","","","","","","89.13072","89.39506","85.76996","","","","","70.8266525268555","","","","","79.6962585449219","83.0531616210938","85.1415100097656","87.5494613647461","86.4004364013672","84.2583465576172","82.8862075805664","","","","","",
"Bosnia and Herzegovina","BIH","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.8004684448242","94.2291107177734","95.608528137207","96.8628997802734","","",
"Belize","BLZ","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.3457107543945","58.4830207824707","59.9043312072754","","68.7507019042969","","66.9066696166992","67.3695678710938","67.5380401611328","67.2730102539063","67.9906921386719","68.0512924194336","69.8056716918945","72.3591079711914","74.2875900268555","","",
"Bermuda","BMU","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","64.90172","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.2123985290527","73.1964263916016","","","","",
"Bolivia","BOL","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.1091766357422","69.5271987915039","71.9962463378906","","","68.9197006225586","67.8938522338867","66.9177322387695","67.8014984130859","68.2713088989258","68.3306121826172","69.8000030517578","71.5756301879883","","",
"Brazil","BRA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Barbados","BRB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","80.98515","","","86.52913","84.78924","84.60771","85.38275","88.9489","","","","82.63211","79.68649","","","","","","","","","96.1813507080078","92.8973693847656","87.4235610961914","87.7445831298828","88.7441329956055","91.4826965332031","90.0821914672852","89.4072799682617","89.7201385498047","86.2221298217773","83.1233062744141","84.8456497192383","89.712516784668","","","","",
"Brunei Darussalam","BRN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","49.3625","49.10306","50.08626","51.35521","50.80415","52.29941","54.37637","51.87553","","","","","","","69.15888","64.80914","65.56193","66.80402","","","","","","","","","","","85.4877624511719","88.3833312988281","87.8901901245117","88.1921463012695","90.0197906494141","","92.588996887207","94.7369537353516","92.2458114624023","","",
"Bhutan","BTN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.28249","20.0655403137207","22.3701305389404","24.256010055542","","","","34.7454986572266","37.7857894897461","","45.4889488220215","47.5563812255859","52.1855697631836","53.4936714172363","56.7869987487793","59.7753982543945","","",
"Botswana","BWA","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","5.69988","6.40086","7.75731","8.76443","10.19114","11.42537","12.3831","12.32843","12.39188","14.17296","15.32827","","","18.97858","21.77947","23.18552","","","28.07749","31.16109","38.55032","38.5355","41.54448","40.58998","40.26884","","","57.80089","52.7734107971191","53.4251518249512","52.5040817260742","53.3880004882813","54.862979888916","55.3772010803223","55.880729675293","58.6550102233887","58.6271095275879","60.7857284545898","","","","","","","",
"Central African Republic","CAF","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","3.96807","4.72925","5.31666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7788000106812","","14.2511796951294","13.9246702194214","","","",
"Canada","CAN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.77877","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80.3166732788086","81.3827590942383","82.1608505249023","81.9595260620117","83.1523742675781","84.1759414672852","85.211067199707","85.9485778808594","86.2182922363281","86.0340957641602","87.2935180664063","87.6246643066406","88.0557708740234","88.8954467773438","89.2346343994141","89.7140426635742","89.9587020874023","89.7821044921875","90.6423263549805","","",
"Switzerland","CHE","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","78.63212","78.42787","78.13948","78.02957","77.90157","77.4595","77.05458","76.97086","76.64383","77.16781","77.9799","78.72521","79.82102","80.88181","","","","","84.4397811889648","84.4695205688477","83.9461288452148","83.1580276489258","83.1335067749023","83.7530212402344","84.4888610839844","84.9805068969727","84.5838775634766","84.2350769042969","83.3386688232422","83.4148788452148","83.0073776245117","81.0242919921875","","","",
"Channel Islands","CHI","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6173477172852","84.0274963378906","82.3231964111328","83.9655227661133","84.6785736083984","84.0873336791992","87.3094100952148","","",
"China","CHN","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","6.70719","7.48077","8.27911","8.87347","9.87515","10.79834","11.69599","12.76181","13.3809","13.86708","14.68599","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.7298889160156","40.0943412780762","","",
"Congo, Rep.","COG","Net enrolment rate, secondary, both sexes (%)","SE.SEC.NENR","","","","","","","","","","","","","17.48504","","28.43718","","36.62166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
